##grflangid 0x39
# This is the Japanese language file

# GRF name and description definitions
STR_GRF_NAME				:TIAS 0.1.5
STR_GRF_DESCRIPTION			:都営1番線浅草線通過する電車セット。日本語はまだできていませんですから，英語のバージオンを使ってください。そして、京成の車両しかないけれど，京急のはまだだが、１０００形1型、１５００形、６００形３と１０００形２型が持ってます。{}{}{COPYRIGHT} Toni Productions 2012{}License: GPL v2
STR_PARAM_COMPANY_NAME			:会社作曲
STR_PARAM_COMPANY_DESC			:都営1番線浅草線通過する電車は１９６８年からです。それ以上は京成・京急の電車を使ってください。{}{GOLD}注意：{BLACK}京成の車両しかないけれど，京急のはまだだ。ですから，京成の作曲はお勧めです。
STR_PARAM_COMPANY_KEISEI		:京成（浅草線全通過車、京成グループ車；長さは８輌編成以上） 
STR_PARAM_COMPANY_KEIKYU		:京浜急行（浅草線全通過車、京浜急行車：長さは１２輌編成以上）
STR_PARAM_COMPANY_BOTH			:全部（マルチプレーヤーゲームの為；京浜急行車：長さは１２輌編成以上、その他は８輌編成以上
STR_PARAM_SOUND_NAME			:音作曲
STR_PARAM_SOUND_DESC			:音の作曲
STR_PARAM_SOUND_OFF			:音無
STR_PARAM_SOUND_START			:発車の音しか
STR_PARAM_SOUND_ON			:全部

# 京急 consist groups
STR_KQ0_CANNOT_ATTACH_OTHER	:京急 GROUP 0 連結できる。
STR_KQ1A2_CANNOT_ATTACH_OTHER	:京急 GROUP 1 連結できる。{}　２輌編しか。
STR_KQ1A4_CANNOT_ATTACH_OTHER	:京急 GROUP 1 連結できる。{}　２・４輌編しか。
STR_KQ1B3_CANNOT_ATTACH_OTHER	:京急 GROUP 1 連結できる。{}　３輌編しか。
STR_KQ1B6_CANNOT_ATTACH_OTHER	:京急 GROUP 1 連結できる。{}　２・３・６輌編しか。
STR_KQ2_CANNOT_ATTACH_OTHER	:京急 GROUP 2 連結できる。{}　４輌編しか。

# 京成 Type 1
STR_KS1_1_NAME					:{LTBLUE}京成 {BLACK}１形、（１両）
STR_KS1_1_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} １{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電氣軌道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Single EMU, only other single 京成 units can be attached;４輌編成以上。{}
STR_KS1_2_NAME					:{LTBLUE}京成 {BLACK}１形、（２両）
STR_KS1_2_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2{}会社： {LTBLUE}京成電氣軌道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Trailer car is not powered;４輌編成以上。{}
STR_KS1_CANNOT_START			:... 車両多すぎ。４輌編成以上。
STR_KS1_CANNOT_ATTACH_OTHER		:... no other cars can be attached.

# 京成 Type 20
STR_KS20_NAME					:{LTBLUE}京成 {BLACK}20/100 Type (1 car)
STR_KS20_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 1{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can be attached to other 京成 (1 car) units or as a trailer to consists;４輌編成以上。{}
STR_KS20_CANNOT_START			:... 車両多すぎ。４輌編成以上。
STR_KS20_CANNOT_ATTACH_OTHER	:... no other cars other than 京成 (1 car) units can be attached.

# 京成 Type 33
STR_KS33_NAME					:{LTBLUE}京成 {BLACK}33/39/45 Type (1 car)
STR_KS33_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 1{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can be attached to other 京成 (1 car) units or as a trailer to consists;４輌編成以上。{}
STR_KS33_CANNOT_START			:... 車両多すぎ。４輌編成以上。
STR_KS33_CANNOT_ATTACH_OTHER 	:.... no other cars other than 京成 (1 car) units can be attached.

# 新京成 Type 33
STR_SKS33_NAME					:{CREAM}SKS {BLACK}33/39/45 Type (1 car)
STR_SKS33_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 1{}{BLACK}{TRAIN} 会社： {CREAM}新京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}2nd-hand units bought from 京成. Can be attached to other 新京成 (1 car) units or as a trailer to consists;８輌編成以上。{}
STR_SKS33_CANNOT_START			:... 車両多すぎ。８輌編成以上。
STR_SKS33_CANNOT_ATTACH_OTHER 	:... no other cars other than 新京成 (1 car) units can be attached.

# 京成 Type 200
STR_KS200_NAME					:{LTBLUE}京成 {BLACK}200/1100 Type (1 car)
STR_KS200_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 1{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can be attached to other 京成 (1 car) units or as a trailer to consists;４輌編成以上。{}
STR_KS200_CANNOT_START			:... 車両多すぎ。４輌編成以上。
STR_KS200_CANNOT_ATTACH_OTHER 	:... no other cars other than 京成 (1 car) units can be attached.

# 京成 Type 300
STR_KS300_NAME					:{LTBLUE}京成 {BLACK}300 Type (1 car)
STR_KS300_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 1{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can be attached to other 京成 (1 car) units or as a trailer to consists;４輌編成以上。{}
STR_KS300_CANNOT_START			:... 車両多すぎ。４輌編成以上。
STR_KS300_CANNOT_ATTACH_OTHER 	:... no other cars other than 京成 (1 car) units can be attached.

# 新京成 Type 300
STR_SKS300_NAME					:{CREAM}SKS {BLACK}300 Type (2 cars)
STR_SKS300_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2{}{BLACK}{TRAIN} 会社： {CREAM}新京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}2nd-hand 300 and 45 Type units bought from 京成. Can be attached to other 2-car< 新京成 trains;８輌編成以上。{}
STR_SKS300_CANNOT_START			:... 車両多すぎ。８輌編成以上。
STR_SKS300_CANNOT_ATTACH_OTHER 	:... no other cars other than 新京成 units can be attached.

# 京成 Type 600
STR_KS600_NAME					:{LTBLUE}京成 {BLACK}600 Type (2 cars)
